head	relation	tail
C0978540	subgroupOf	C0887175
C0979478	subgroupOf	C0031463
C1165188	subgroupOf	C0076823
C2954910	subgroupOf	C0304430
C0976460	subgroupOf	C0012582
C0688035	subgroupOf	C0106169
C0975756	subgroupOf	C0009079
C0778677	subgroupOf	C0022625
C0975285	subgroupOf	C0007257
C0976073	subgroupOf	C0057143
C4282555	subgroupOf	C0065374
C0980883	subgroupOf	C0077376
C0688441	subgroupOf	C0010592
C3249245	subgroupOf	C0031470
C0937759	subgroupOf	C0064326
C2725081	subgroupOf	C0006931
C0975885	subgroupOf	C0009217
C0708669	subgroupOf	C0017887
C4032805	subgroupOf	C1121991
C0978668	subgroupOf	C0727050
C2747655	subgroupOf	C0724666
C0981215	subgroupOf	C0003968
C3833529	subgroupOf	C1176020
C1161464	subgroupOf	C0040866
C1168822	subgroupOf	C0961485
C0689175	subgroupOf	C0020740
C0978505	subgroupOf	C0721688
C0974892	subgroupOf	C0005059
C0937807	subgroupOf	C0078792
C3472762	subgroupOf	C2697950
C0789332	subgroupOf	C0086620
C0689617	subgroupOf	C0543459
C0708688	subgroupOf	C0026187
C0976542	subgroupOf	C0013085
C0977998	subgroupOf	C0022251
C0773197	subgroupOf	C0065642
C4475145	subgroupOf	C4287815
C0982827	subgroupOf	C0031184
C1572083	subgroupOf	C0355077
C0980979	subgroupOf	C0700468
C0692903	subgroupOf	C0085154
C0688043	subgroupOf	C0006230
C3892222	subgroupOf	C1998098
C0980495	subgroupOf	C0076107
C1576471	subgroupOf	C1436328
C0978507	subgroupOf	C0721688
C0977097	subgroupOf	C3854019
C0352510	subgroupOf	C0016299
C3888142	subgroupOf	C0254119
C1532848	subgroupOf	C0657912
C0780490	subgroupOf	C0126777
C4083192	subgroupOf	C0546861
C3160364	subgroupOf	C0282304
C0689841	subgroupOf	C0028902
C3152969	subgroupOf	C1121849
C0979025	subgroupOf	C0017887
C0688251	subgroupOf	C0055447
C0710734	subgroupOf	C0700468
C0690779	subgroupOf	C0072916
C0974922	subgroupOf	C0005088
C0789458	subgroupOf	C0052657
C1356806	subgroupOf	C0055891
C1813082	subgroupOf	C0025368
C0976123	subgroupOf	C0011777
C3555176	subgroupOf	C0071839
C2344605	subgroupOf	C2344609
C0975542	subgroupOf	C0282849
C0976793	subgroupOf	C0071108
C0975176	subgroupOf	C0108101
C0981317	subgroupOf	C0007537
C3858085	subgroupOf	C4056565
C0977943	subgroupOf	C0022176
C0978889	subgroupOf	C0600099
C0981118	subgroupOf	C0042874
C0706477	subgroupOf	C0700567
C0979930	subgroupOf	C0034415
C0977735	subgroupOf	C0165032
C0688804	subgroupOf	C0717752
C4522741	subgroupOf	C0687868
C1533701	subgroupOf	C0014809
C3184867	subgroupOf	C0030438
C0976603	subgroupOf	C0916906
C0692280	subgroupOf	C0068377
C1164941	subgroupOf	C0386393
C4048435	subgroupOf	C0771019
C0939125	subgroupOf	C0700442
C0543191	subgroupOf	C0005088
C0352501	subgroupOf	C0016298
C1532850	subgroupOf	C0657912
C0874212	subgroupOf	C0032950
C1168713	subgroupOf	C0700474
C0976380	subgroupOf	C0012258
C0978617	subgroupOf	C0025872
C1276826	subgroupOf	C0700583
C0976474	subgroupOf	C0886883
C0705909	subgroupOf	C0248719
C0773973	subgroupOf	C0289432
C1996469	subgroupOf	C0037494
C0973789	subgroupOf	C0000983
C0716041	subgroupOf	C0050559
C2610052	subgroupOf	C0724725
C0979038	subgroupOf	C0017887
C3473494	subgroupOf	C0022265
C0979702	subgroupOf	C0032857
C0694331	subgroupOf	C0028978
C2920038	subgroupOf	C0304352
C0978573	subgroupOf	C0025729
C0975163	subgroupOf	C0006681
C0976466	subgroupOf	C0012702
C0688298	subgroupOf	C0355077
C1345132	subgroupOf	C0042313
C0688627	subgroupOf	C0700579
C0779577	subgroupOf	C0002083
C0974950	subgroupOf	C0005308
C0975652	subgroupOf	C0055711
C4059544	subgroupOf	C0546869
C4059519	subgroupOf	C0020196
C0785949	subgroupOf	C0017887
C0978002	subgroupOf	C0022252
C4057848	subgroupOf	C0083381
C0693164	subgroupOf	C0009074
C1615628	subgroupOf	C0014912
C4048971	subgroupOf	C0356588
C0775247	subgroupOf	C0079691
C1375258	subgroupOf	C0700596
C0980839	subgroupOf	C0003830
C2341962	subgroupOf	C1170743
C1572365	subgroupOf	C0026933
C2341963	subgroupOf	C1170743
C1712083	subgroupOf	C0282321
C1576511	subgroupOf	C0299792
C0705278	subgroupOf	C0596005
C0979088	subgroupOf	C0795649
C1628503	subgroupOf	C0907410
C0976364	subgroupOf	C0012133
C0688710	subgroupOf	C0037507
C0980988	subgroupOf	C0042646
C0976957	subgroupOf	C0016299
C4281828	subgroupOf	C0012010
C1329805	subgroupOf	C0700579
C0977345	subgroupOf	C0018546
C0690031	subgroupOf	C0031990
C2684222	subgroupOf	C0247194
C0976974	subgroupOf	C0016360
C1614088	subgroupOf	C0169964
C1321184	subgroupOf	C1145759
C0693299	subgroupOf	C0050559
C0688003	subgroupOf	C0053156
C0979545	subgroupOf	C0770456
C1168784	subgroupOf	C0795604
C0982790	subgroupOf	C0025368
C0980017	subgroupOf	C0649350
C0688786	subgroupOf	C0014912
C3833690	subgroupOf	C1948068
C2719526	subgroupOf	C0042313
C0688465	subgroupOf	C0282125
C0691210	subgroupOf	C0005575
C0787990	subgroupOf	C0066814
C0688417	subgroupOf	C0056391
C0689149	subgroupOf	C0020306
C0690137	subgroupOf	C0600311
C0976354	subgroupOf	C0012133
C3858083	subgroupOf	C2606637
C0976171	subgroupOf	C0011810
C2920329	subgroupOf	C0059562
C0709773	subgroupOf	C0039771
C0974805	subgroupOf	C0004906
C0692486	subgroupOf	C0040845
C0782220	subgroupOf	C0031469
C0691965	subgroupOf	C0078794
C0979833	subgroupOf	C0242451
C1271555	subgroupOf	C0017066
C2587160	subgroupOf	C2350089
C1711774	subgroupOf	C0042845
C0780272	subgroupOf	C0123053
C0689201	subgroupOf	C0021186
C1591225	subgroupOf	C0008947
C0980602	subgroupOf	C0039771
C0980942	subgroupOf	C0249458
C2979852	subgroupOf	C0087000
C3644505	subgroupOf	C2697961
C0692172	subgroupOf	C0008286
C0980749	subgroupOf	C0040372
C2955129	subgroupOf	C0005088
C2343807	subgroupOf	C0028978
C3205627	subgroupOf	C4074403
C0784844	subgroupOf	C0036079
C0979014	subgroupOf	C0017887
C1329522	subgroupOf	C0037494
C0710135	subgroupOf	C0040134
C2366398	subgroupOf	C0893761
C1614641	subgroupOf	C0169964
C0688016	subgroupOf	C0005308
C0981185	subgroupOf	C0380393
C4083399	subgroupOf	C1699861
C0690484	subgroupOf	C0039771
C4325444	subgroupOf	C2607886
C1344946	subgroupOf	C0076110
C0991657	subgroupOf	C0007560
C3853667	subgroupOf	C0017725
C0692645	subgroupOf	C0053790
C4477257	subgroupOf	C1619629
C0783434	subgroupOf	C0000970
C0979428	subgroupOf	C0148932
C0979029	subgroupOf	C0017887
C1171394	subgroupOf	C0064079
C0775386	subgroupOf	C0032857
C0688496	subgroupOf	C0011777
C0978385	subgroupOf	C0025241
C0979164	subgroupOf	C0029983
C2946683	subgroupOf	C0389169
C3265081	subgroupOf	C2343921
C1621993	subgroupOf	C0040341
C0777940	subgroupOf	C0057626
C0975350	subgroupOf	C0055003
C0980141	subgroupOf	C3489575
C3817074	subgroupOf	C1609931
C0980919	subgroupOf	C0041660
C1621174	subgroupOf	C0032334
C4082919	subgroupOf	C0700545
C4057010	subgroupOf	C0005088
C0976048	subgroupOf	C0010592
C0689665	subgroupOf	C0066814
C2703051	subgroupOf	C0064326
C1737299	subgroupOf	C1170743
C3887907	subgroupOf	C0700442
C0592676	subgroupOf	C0083381
C0981544	subgroupOf	C0282221
C0703373	subgroupOf	C0037556
C1585447	subgroupOf	C0770893
C3833221	subgroupOf	C2930762
C0355173	subgroupOf	C0009079
C0786367	subgroupOf	C0005059
C1761636	subgroupOf	C0014810
C1177189	subgroupOf	C3489575
C0976895	subgroupOf	C0060276
C0979773	subgroupOf	C0033148
C0785038	subgroupOf	C1113707
C0979505	subgroupOf	C0237417
C1995840	subgroupOf	C0077408
C1329053	subgroupOf	C0064326
C3160384	subgroupOf	C0530684
C1612471	subgroupOf	C0033508
C0690359	subgroupOf	C0037521
C0980882	subgroupOf	C0077376
C1168829	subgroupOf	C0006405
C0980844	subgroupOf	C0041031
C2709876	subgroupOf	C0042845
C0703914	subgroupOf	C0056593
C0976912	subgroupOf	C0060282
C0691713	subgroupOf	C0011782
C3199970	subgroupOf	C0032143
C0688781	subgroupOf	C0014892
C0689615	subgroupOf	C0543459
C0978429	subgroupOf	C0353148
C0692138	subgroupOf	C0041040
C0595475	subgroupOf	C0209368
C0690463	subgroupOf	C0039629
C0692360	subgroupOf	C0008783
C1354807	subgroupOf	C0039771
C0689955	subgroupOf	C0031412
C0976605	subgroupOf	C0916906
C3855292	subgroupOf	C1948374
C0690610	subgroupOf	C0282369
C0977606	subgroupOf	C0020268
C0979555	subgroupOf	C0031955
C0304656	subgroupOf	C0020281
C0713228	subgroupOf	C0148485
C3203018	subgroupOf	C1383389
C0982708	subgroupOf	C0013360
C3538538	subgroupOf	C0060400
C4048926	subgroupOf	C0066814
C0976680	subgroupOf	C0014563
C0976729	subgroupOf	C0014809
C0980268	subgroupOf	C0037508
C2722206	subgroupOf	C0909381
C0692376	subgroupOf	C0043491
C0688927	subgroupOf	C0016374
C0980262	subgroupOf	C0037508
C0974317	subgroupOf	C0002640
C0691497	subgroupOf	C0017725
C3204572	subgroupOf	C2974289
C0691223	subgroupOf	C0546853
C0980706	subgroupOf	C0040134
C0590559	subgroupOf	C0066814
C2961328	subgroupOf	C0017725
C4281860	subgroupOf	C4281860
C0688495	subgroupOf	C0011777
C3855910	subgroupOf	C0913469
C1320175	subgroupOf	C0299792
C0977346	subgroupOf	C0018546
C0689546	subgroupOf	C0025684
C0689597	subgroupOf	C0025854
C0979048	subgroupOf	C0132776
C0688837	subgroupOf	C0059865
C0690530	subgroupOf	C0039943
C2719716	subgroupOf	C0060179
C4048940	subgroupOf	C0282386
C0980740	subgroupOf	C0146011
C0979919	subgroupOf	C0034403
C4520886	subgroupOf	C0700596
C4048907	subgroupOf	C0171023
C0981701	subgroupOf	C0072857
C2725533	subgroupOf	C0440016
C0689292	subgroupOf	C0282213
C0978919	subgroupOf	C0525005
C0689614	subgroupOf	C0886584
C0361769	subgroupOf	C0039943
C0715191	subgroupOf	C0021027
C0975003	subgroupOf	C0053817
C0774321	subgroupOf	C0700525
C2756947	subgroupOf	C0541315
C0981777	subgroupOf	C0085149
C0976716	subgroupOf	C0014806
C0982854	subgroupOf	C0033495
C0981601	subgroupOf	C0027996
C1873911	subgroupOf	C0006931
C0687824	subgroupOf	C0936072
C0974435	subgroupOf	C0003143
C0688949	subgroupOf	C0016860
C0936192	subgroupOf	C0887621
C3499689	subgroupOf	C0126177
C0688425	subgroupOf	C0010525
C0980731	subgroupOf	C0040233
C1876516	subgroupOf	C0020316
C0691603	subgroupOf	C0024480
C0975489	subgroupOf	C0001275
C0978481	subgroupOf	C0025575
C0690285	subgroupOf	C0035179
C0981472	subgroupOf	C0020268
C0976941	subgroupOf	C0086303
C0974655	subgroupOf	C0596005
C1161453	subgroupOf	C0037129
C1165074	subgroupOf	C0209738
C2369324	subgroupOf	C1831905
C0979499	subgroupOf	C0031507
C0356878	subgroupOf	C0016360
C0975529	subgroupOf	C0055361
C0689919	subgroupOf	C0700553
C0705898	subgroupOf	C0032952
C0689007	subgroupOf	C0018312
C0977737	subgroupOf	C0002697
C0979501	subgroupOf	C0031507
C4057847	subgroupOf	C0083381
C0688386	subgroupOf	C0009074
C0978725	subgroupOf	C0066814
C0979973	subgroupOf	C0035167
C0974157	subgroupOf	C0002327
C0976206	subgroupOf	C0350422
C2920434	subgroupOf	C0017861
C3865130	subgroupOf	C1164676
C0978245	subgroupOf	C0065180
C0979931	subgroupOf	C0034415
C1177117	subgroupOf	C0017718
C2718524	subgroupOf	C0015837
C0973882	subgroupOf	C0001927
C1631227	subgroupOf	C1135135
C0975158	subgroupOf	C0006681
C0978176	subgroupOf	C0546869
C0784839	subgroupOf	C0006886
C0689810	subgroupOf	C0028365
C0974839	subgroupOf	C0770917
C1615216	subgroupOf	C0077275
C1533702	subgroupOf	C0014806
C0693766	subgroupOf	C0022322
C1164917	subgroupOf	C0041942
C2961851	subgroupOf	C0015846
C1168875	subgroupOf	C0086135
C3667596	subgroupOf	C2717561
C0981607	subgroupOf	C0017887
C2946957	subgroupOf	C2001525
C1509194	subgroupOf	C0009079
C0936169	subgroupOf	C0066814
C4551845	subgroupOf	C0700545
C0775764	subgroupOf	C0031470
C4478107	subgroupOf	C0018988
C1572491	subgroupOf	C0040341
C2741195	subgroupOf	C0292818
C0981193	subgroupOf	C0000970
C0978960	subgroupOf	C0027996
C0977134	subgroupOf	C0017642
C0977605	subgroupOf	C0020268
C1163907	subgroupOf	C0064113
C4049070	subgroupOf	C0113293
C0689443	subgroupOf	C1289957
C1130402	subgroupOf	C0021246
C0979793	subgroupOf	C0033308
C0977466	subgroupOf	C0019435
C0980699	subgroupOf	C0040134
C0979373	subgroupOf	C0700349
C0692784	subgroupOf	C0076891
C0982651	subgroupOf	C0008574
C1962243	subgroupOf	C0065864
C0975439	subgroupOf	C0007716
C0980502	subgroupOf	C0039542
C0976382	subgroupOf	C0012265
C1711759	subgroupOf	C0700563
C0356885	subgroupOf	C0025677
C1256528	subgroupOf	C0022252
C0980670	subgroupOf	C0039943
C0974956	subgroupOf	C0106169
C0980393	subgroupOf	C0282356
C0980777	subgroupOf	C2350089
C3154597	subgroupOf	C1170743
C0974618	subgroupOf	C0004057
C0691447	subgroupOf	C0016157
C4306822	subgroupOf	C1739826
C0976494	subgroupOf	C0012963
C0981296	subgroupOf	C0005632
C0873590	subgroupOf	C0009137
C0776097	subgroupOf	C0600266
C0692009	subgroupOf	C0087162
C3692758	subgroupOf	C0546868
C1950557	subgroupOf	C0596005
C1357971	subgroupOf	C0717537
C3257791	subgroupOf	C0167117
C0789390	subgroupOf	C0035525
C4048339	subgroupOf	C0596005
C0980711	subgroupOf	C0040134
C1694323	subgroupOf	C1695579
C1145601	subgroupOf	C0007560
C2718123	subgroupOf	C0596005
C0706056	subgroupOf	C0543450
C4083016	subgroupOf	C0700545
C0976726	subgroupOf	C0014809
C0980217	subgroupOf	C0037494
C2747647	subgroupOf	C0013085
C0690625	subgroupOf	C0040866
C4060033	subgroupOf	C0026056
C0979357	subgroupOf	C0030858
C0977987	subgroupOf	C4049074
C0703562	subgroupOf	C0016293
C0979183	subgroupOf	C0069751
C0689947	subgroupOf	C0700555
C0981790	subgroupOf	C0078569
C0981482	subgroupOf	C0020268
C0981570	subgroupOf	C0141756
C3888322	subgroupOf	C0700542
C0693759	subgroupOf	C0149368
C0975606	subgroupOf	C0355077
C0974296	subgroupOf	C0002615
C0979256	subgroupOf	C0356588
C1576469	subgroupOf	C0971023
C0690474	subgroupOf	C0148485
C0689550	subgroupOf	C0025696
C0772614	subgroupOf	C0600311
C0981783	subgroupOf	C0527038
C0694436	subgroupOf	C0039736
C0980845	subgroupOf	C0041038
C0688946	subgroupOf	C0016860
C0689843	subgroupOf	C0028978
C1724228	subgroupOf	C1176306
C0978118	subgroupOf	C0023413
C4056558	subgroupOf	C4056439
C4048564	subgroupOf	C0010583
C0974235	subgroupOf	C0002575
C0978217	subgroupOf	C0546882
C0974933	subgroupOf	C0005116
C0979358	subgroupOf	C0030858
C4059408	subgroupOf	C3273711
C1711863	subgroupOf	C0134394
C0872744	subgroupOf	C0546860
C0981619	subgroupOf	C0028066
C0973749	subgroupOf	C0000970
C0974286	subgroupOf	C0051696
C1967731	subgroupOf	C1967731
C0974952	subgroupOf	C0005320
C1319683	subgroupOf	C0537439
C0978910	subgroupOf	C0540623
C1691970	subgroupOf	C1691970
C4529868	subgroupOf	C4078701
C3893099	subgroupOf	C0937950
C3249244	subgroupOf	C0031470
C0688926	subgroupOf	C0016374
C0981793	subgroupOf	C0376218
C0979372	subgroupOf	C0700349
C0704664	subgroupOf	C0009137
C3668832	subgroupOf	C1871526
C0975752	subgroupOf	C0009074
C0979843	subgroupOf	C0282321
C0974679	subgroupOf	C0004521
C0689481	subgroupOf	C0025386
C0980683	subgroupOf	C0039955
C0687869	subgroupOf	C0700523
C0979536	subgroupOf	C0770456
C1697873	subgroupOf	C1699236
C0977930	subgroupOf	C0060282
C0978224	subgroupOf	C0065374
C0977333	subgroupOf	C0018312
C0690836	subgroupOf	C0076840
C0689705	subgroupOf	C0027302
C0687931	subgroupOf	C0004057
C4048356	subgroupOf	C0014027
C0693627	subgroupOf	C0286651
C0689451	subgroupOf	C0025152
C1812846	subgroupOf	C1145759
C2682140	subgroupOf	C0039771
C0690617	subgroupOf	C0040864
C0692591	subgroupOf	C0546857
C0688476	subgroupOf	C0700529
C1724248	subgroupOf	C0282275
C0980708	subgroupOf	C0040134
C0690704	subgroupOf	C0042105
C0979275	subgroupOf	C0030350
C0690449	subgroupOf	C0076115
C1650426	subgroupOf	C0034665
C0976051	subgroupOf	C0354872
C3153638	subgroupOf	C0717537
C0705042	subgroupOf	C0975427
C2719951	subgroupOf	C1721288
C0693045	subgroupOf	C0040263
C1630702	subgroupOf	C1135135
C0980388	subgroupOf	C0282356
C0974316	subgroupOf	C0002640
C0689534	subgroupOf	C0025659
C0687779	subgroupOf	C0000992
C0708427	subgroupOf	C0066814
C0978141	subgroupOf	C0079691
C0687960	subgroupOf	C0052759
C0979543	subgroupOf	C0770456
C0780179	subgroupOf	C0031617
C1873568	subgroupOf	C1120110
C0688621	subgroupOf	C0700579
C0687802	subgroupOf	C0001927
C0976647	subgroupOf	C0304426
C4048439	subgroupOf	C0002679
C0979730	subgroupOf	C0032910
C0788945	subgroupOf	C0041942
C0691133	subgroupOf	C0004057
C0773340	subgroupOf	C0017725
C0784131	subgroupOf	C0017725
C1168655	subgroupOf	C0054201
C0991714	subgroupOf	C0026187
C0978731	subgroupOf	C0066814
C0709767	subgroupOf	C0039771
C3888167	subgroupOf	C0037494
C0979030	subgroupOf	C0017887
C0979181	subgroupOf	C0069751
C0979844	subgroupOf	C0282321
C0977629	subgroupOf	C0020268
C0982767	subgroupOf	C0589978
C0543371	subgroupOf	C0000294
C3497045	subgroupOf	C0541315
C1319722	subgroupOf	C0073393
C3153488	subgroupOf	C0126177
C0991672	subgroupOf	C0004963
C0976392	subgroupOf	C0012319
C0976418	subgroupOf	C1113707
C0688913	subgroupOf	C0016366
C2344618	subgroupOf	C1455147
C4082684	subgroupOf	C0282388
C2920194	subgroupOf	C1721377
C0981794	subgroupOf	C0376218
C1964499	subgroupOf	C0079691
C1642828	subgroupOf	C1619629
C0693822	subgroupOf	C0054836
C0707243	subgroupOf	C0009217
C0786180	subgroupOf	C0003968
C0975297	subgroupOf	C0543450
C0976458	subgroupOf	C0700488
C3248053	subgroupOf	C0724725
C2719277	subgroupOf	C0060580
C3159306	subgroupOf	C0243237
C0976147	subgroupOf	C0137440
C0978594	subgroupOf	C0025826
C0784912	subgroupOf	C0546869
C4019660	subgroupOf	C2827241
C0976053	subgroupOf	C0010648
C0981378	subgroupOf	C0935942
C0693968	subgroupOf	C0065818
C0977104	subgroupOf	C3854019
C0978484	subgroupOf	C0770893
C0978928	subgroupOf	C0027607
C0974617	subgroupOf	C0004057
C1694697	subgroupOf	C1176020
C0691423	subgroupOf	C0060276
C0689554	subgroupOf	C0025741
C0689024	subgroupOf	C0062106
C0982807	subgroupOf	C0978881
C2608089	subgroupOf	C1739826
C1321288	subgroupOf	C0971579
C0778108	subgroupOf	C0724560
C4290561	subgroupOf	C0546869
C0976856	subgroupOf	C0015620
C3249491	subgroupOf	C0700563
C0980405	subgroupOf	C0038702
C3162896	subgroupOf	C0700596
C4081218	subgroupOf	C0023660
C0979077	subgroupOf	C0028741
C4048957	subgroupOf	C0700533
C3530508	subgroupOf	C2827241
C0977206	subgroupOf	C0017861
C0778851	subgroupOf	C0061863
C1177164	subgroupOf	C0796545
C0978062	subgroupOf	C0083183
C0691862	subgroupOf	C0038774
C0978468	subgroupOf	C0025497
C0691646	subgroupOf	C0132776
C0705972	subgroupOf	C0066677
C3854981	subgroupOf	C3179535
C0975056	subgroupOf	C0546853
C0980147	subgroupOf	C0074393
C0691375	subgroupOf	C0012381
C0709718	subgroupOf	C0039771
C0688230	subgroupOf	C0008163
C0690420	subgroupOf	C0038687
C0979390	subgroupOf	C0244718
C3887796	subgroupOf	C0024480
C3265345	subgroupOf	C0040134
C1168813	subgroupOf	C1099456
C4060034	subgroupOf	C0982792
C0974616	subgroupOf	C0004057
C1720708	subgroupOf	C0026196
C1161474	subgroupOf	C0700553
C3853751	subgroupOf	C3853751
C0981431	subgroupOf	C0060276
C0976715	subgroupOf	C0014806
C3858012	subgroupOf	C0009137
C1996403	subgroupOf	C1328071
C0975417	subgroupOf	C0007562
C1711861	subgroupOf	C0134394
C0981579	subgroupOf	C0002475
C0705397	subgroupOf	C0009137
C0705891	subgroupOf	C0071836
C0687990	subgroupOf	C0053229
C0977186	subgroupOf	C0017845
C0979044	subgroupOf	C0085154
C0976030	subgroupOf	C0010547
C2719731	subgroupOf	C0206515
C0981585	subgroupOf	C0721688
C0690140	subgroupOf	C0600311
C0980982	subgroupOf	C0387288
C0937296	subgroupOf	C0004261
C1361670	subgroupOf	C1337242
C4306828	subgroupOf	C0057258
C0693826	subgroupOf	C0171023
C1364797	subgroupOf	C0004963
C0688236	subgroupOf	C0009033
C1329089	subgroupOf	C0377265
C3652279	subgroupOf	C2987648
C0979453	subgroupOf	C0031412
C0688391	subgroupOf	C0009077
C0690362	subgroupOf	C0037530
C0978322	subgroupOf	C0126789
C0981671	subgroupOf	C0740235
C0976570	subgroupOf	C0013360
C0981449	subgroupOf	C0016365
C0688497	subgroupOf	C0011777
C0974665	subgroupOf	C0052761
C0979118	subgroupOf	C0061851
C0698112	subgroupOf	C0039771
C0980052	subgroupOf	C0289313
C0978746	subgroupOf	C0066814
C0976890	subgroupOf	C0060276
C2240969	subgroupOf	C1328071
C0689472	subgroupOf	C0025382
C2341695	subgroupOf	C0282275
C1617727	subgroupOf	C0087000
C0700355	subgroupOf	C0022625
C0975654	subgroupOf	C0055711
C0978926	subgroupOf	C0027603
C0689957	subgroupOf	C0031412
C0976145	subgroupOf	C0137440
C0978162	subgroupOf	C0546869
C0981244	subgroupOf	C0002335
C3887713	subgroupOf	C0058731
C1300274	subgroupOf	C0002501
C0693481	subgroupOf	C0077275
C1168825	subgroupOf	C0050940
C1165073	subgroupOf	C0299792
C1646068	subgroupOf	C0065864
C0689337	subgroupOf	C0023570
C0691712	subgroupOf	C0011782
C2709721	subgroupOf	C0543473
C1361671	subgroupOf	C1337242
C0691950	subgroupOf	C0149381
C0980977	subgroupOf	C0700468
C1269867	subgroupOf	C0068475
C1163898	subgroupOf	C0600311
C4059353	subgroupOf	C0700545
C0978924	subgroupOf	C0027603
C4282340	subgroupOf	C0770565
C3555653	subgroupOf	C0784200
C0979426	subgroupOf	C0960052
C1812859	subgroupOf	C0700563
C0688461	subgroupOf	C0010980
C0691061	subgroupOf	C0064636
C0977059	subgroupOf	C0060926
C0709737	subgroupOf	C0039771
C0976532	subgroupOf	C1135662
C0978745	subgroupOf	C0066814
C0688331	subgroupOf	C0008783
C0715724	subgroupOf	C0010592
C3644778	subgroupOf	C0011810
C0979455	subgroupOf	C0031412
C0691433	subgroupOf	C0060277
C3817073	subgroupOf	C0011810
C0977741	subgroupOf	C0376637
C0785855	subgroupOf	C0024337
C0977074	subgroupOf	C0753645
C3709431	subgroupOf	C0289884
C1615782	subgroupOf	C0700596
C0976102	subgroupOf	C0011685
C0980073	subgroupOf	C0036079
C0689796	subgroupOf	C0085154
C0979724	subgroupOf	C0700474
C0791422	subgroupOf	C0700579
C0981387	subgroupOf	C0012093
C0774855	subgroupOf	C0036079
C1328988	subgroupOf	C0700545
C0688436	subgroupOf	C0010583
C0693960	subgroupOf	C0288171
C0981556	subgroupOf	C0065374
C3499910	subgroupOf	C0108101
C0973952	subgroupOf	C0440016
C0975611	subgroupOf	C0355077
C0793158	subgroupOf	C0008318
C2719593	subgroupOf	C1815010
C0708685	subgroupOf	C0017887
C0977991	subgroupOf	C0282210
C1591308	subgroupOf	C0074280
C0982721	subgroupOf	C0014939
C0772594	subgroupOf	C0014563
C0688829	subgroupOf	C0015021
C0978972	subgroupOf	C0028027
C0689391	subgroupOf	C0023972
C0691063	subgroupOf	C0064636
C0980681	subgroupOf	C0039955
C3692256	subgroupOf	C0012265
C0979238	subgroupOf	C0030092
C4082946	subgroupOf	C0700545
C3887719	subgroupOf	C0770666
C0774024	subgroupOf	C0033218
C0692452	subgroupOf	C0036079
C0995119	subgroupOf	C0087000
C0995120	subgroupOf	C0237417
C2370736	subgroupOf	C0724725
C0979110	subgroupOf	C0171023
C1269857	subgroupOf	C0377265
C0691140	subgroupOf	C0004057
C0774396	subgroupOf	C0053156
C2719946	subgroupOf	C1721288
C0690177	subgroupOf	C0033447
C1762246	subgroupOf	C0059566
C2746506	subgroupOf	C0700533
C0692594	subgroupOf	C0290883
C0975879	subgroupOf	C0009217
C4048651	subgroupOf	C0086135
C0978412	subgroupOf	C0025368
C0981656	subgroupOf	C0032950
C0981432	subgroupOf	C0060282
C0784696	subgroupOf	C0003166
C0981219	subgroupOf	C0004057
C0980465	subgroupOf	C0085149
C1572577	subgroupOf	C0171023
C0779140	subgroupOf	C0356588
C1319369	subgroupOf	C1321643
C0690516	subgroupOf	C0039832
C0689118	subgroupOf	C0020268
C3162592	subgroupOf	C0017887
C0691505	subgroupOf	C0018305
C0688576	subgroupOf	C0012093
C3163073	subgroupOf	C0874161
C0979727	subgroupOf	C0032910
C4082903	subgroupOf	C0937932
C0974927	subgroupOf	C0005088
C0775460	subgroupOf	C0032857
C1669518	subgroupOf	C1516119
C0789653	subgroupOf	C0002501
C4056021	subgroupOf	C2936870
C0978904	subgroupOf	C0282259
C4060035	subgroupOf	C0981221
C3817092	subgroupOf	C0068006
C0978388	subgroupOf	C0065932
C0976157	subgroupOf	C0086140
C0976939	subgroupOf	C0546865
C1962182	subgroupOf	C0937609
C0690445	subgroupOf	C0039543
C0977941	subgroupOf	C0022176
C0690626	subgroupOf	C0040866
C2710154	subgroupOf	C0237406
C1827483	subgroupOf	C0079691
C0980050	subgroupOf	C0289313
C3710213	subgroupOf	C3177235
C0975947	subgroupOf	C0056391
C4082776	subgroupOf	C0017725
C0978640	subgroupOf	C0086620
C0782868	subgroupOf	C0025729
C1962140	subgroupOf	C0596005
C0350497	subgroupOf	C0008290
C3185136	subgroupOf	C0034665
C2723474	subgroupOf	C0687868
C0978319	subgroupOf	C0024477
C3496930	subgroupOf	C1831731
C0694104	subgroupOf	C0528166
C0694423	subgroupOf	C0936072
C1164732	subgroupOf	C0009011
C1509195	subgroupOf	C0009079
C0712109	subgroupOf	C0243237
C0705524	subgroupOf	C0010592
C0689429	subgroupOf	C0700455
C0975952	subgroupOf	C0012694
C0731573	subgroupOf	C0062527
C0979281	subgroupOf	C0000473
C1700823	subgroupOf	C0033228
C0783618	subgroupOf	C0546869
C0688782	subgroupOf	C0014892
C0354870	subgroupOf	C0546858
C0773180	subgroupOf	C0149381
C0975881	subgroupOf	C0009217
C1329139	subgroupOf	C0700465
C0355200	subgroupOf	C0060580
C1346257	subgroupOf	C0039601
C0974668	subgroupOf	C0052796
C0687772	subgroupOf	C0000981
C0991767	subgroupOf	C0123091
C0978367	subgroupOf	C1289957
C3652270	subgroupOf	C2697950
C0688001	subgroupOf	C0053156
C0688740	subgroupOf	C0014695
C0774525	subgroupOf	C0282151
C1591652	subgroupOf	C0041041
C0980677	subgroupOf	C0039871
